Movie,Year,RunTime,imdb,Genre,votes
Marriage Story,2019,137 minutes,7.9,"Drama, Romance",292033
Blazing Saddles,1974,93 minutes,7.7,"Comedy, Western",135927
True Grit,2010,110 minutes,7.6,"Drama, Western",332612
"O Brother, Where Art Thou?",2000,107 minutes,7.7,"Adventure, Comedy, Crime",305174
Big Fish,2003,125 minutes,8.0,"Adventure, Drama, Fantasy",434677
The Sandlot,1993,101 minutes,7.8,"Comedy, Drama, Family",88427
Remember the Titans,2000,113 minutes,7.8,"Biography, Drama, Sport",210734
Kung Fu Panda,2008,92 minutes,7.6,"Animation, Action, Adventure",453495
Toy Story 4,2019,100 minutes,7.7,"Animation, Adventure, Comedy",236285
The Last of the Mohicans,1992,112 minutes,7.7,"Action, Adventure, Drama",165064
Million Dollar Baby,2004,132 minutes,8.1,"Drama, Sport",673044
Gravity,2013,91 minutes,7.7,"Action, Drama, Sci-Fi",809440
The Bourne Identity,2002,119 minutes,7.9,"Action, Mystery, Thriller",536611
Captain Fantastic,2016,118 minutes,7.8,"Comedy, Drama",212861
Der Untergang,2004,156 minutes,8.2,"Biography, Drama, History",349112
Incredibles 2,2018,118 minutes,7.6,"Animation, Action, Adventure",283145
Misery,1990,107 minutes,7.8,"Drama, Thriller",202254
(500) Days of Summer,2009,95 minutes,7.7,"Comedy, Drama, Romance",500932
The Best Years of Our Lives,1946,170 minutes,8.1,"Drama, Romance, War",62741
Lost in Translation,2003,102 minutes,7.7,"Comedy, Drama",443223
American Gangster,2007,157 minutes,7.8,"Biography, Crime, Drama",417645
"Lock, Stock and Two Smoking Barrels",1998,107 minutes,8.2,"Action, Comedy, Crime",568979
Indiana Jones and the Last Crusade,1989,127 minutes,8.3,"Action, Adventure",735511
Hotaru no haka,1988,89 minutes,8.5,"Animation, Drama, War",264899
Wonder,2017,113 minutes,7.9,"Drama, Family",159285
Before Sunrise,1995,101 minutes,8.1,"Drama, Romance",297027
Die Hard: With a Vengeance,1995,128 minutes,7.6,"Action, Adventure, Thriller",381465
The King's Speech,2010,118 minutes,8.0,"Biography, Drama, History",669173
Being John Malkovich,1999,113 minutes,7.8,"Comedy, Drama, Fantasy",329236
Rain Man,1988,133 minutes,8.0,Drama,501427
Road to Perdition,2002,117 minutes,7.7,"Crime, Drama, Thriller",262688
Ben-Hur,1959,212 minutes,8.1,"Adventure, Drama, History",234301
Mononoke-hime,1997,134 minutes,8.4,"Animation, Action, Adventure",379777
The Fugitive,1993,130 minutes,7.8,"Action, Crime, Drama",287413
The Machinist,2004,101 minutes,7.7,"Drama, Thriller",380487
The Fighter,2010,116 minutes,7.8,"Action, Biography, Drama",358886
Kill Bill: Vol. 2,2004,137 minutes,8.0,"Action, Crime, Thriller",733977
The Fly,1986,96 minutes,7.6,"Drama, Horror, Sci-Fi",175419
Cast Away,2000,143 minutes,7.8,"Adventure, Drama, Romance",573325
Moon,2009,97 minutes,7.8,"Drama, Mystery, Sci-Fi",352743
Beauty and the Beast,1991,84 minutes,8.1,"Animation, Family, Fantasy",439526
The Sting,1973,129 minutes,8.3,"Comedy, Crime, Drama",256581
The Trial of the Chicago 7,2020,129 minutes,7.8,"Drama, History, Thriller",169812
Coraline,2009,100 minutes,7.7,"Animation, Drama, Family",217876
3:10 to Yuma,2007,122 minutes,7.7,"Action, Crime, Drama",305184
Once Upon a Time in the West,1968,165 minutes,8.5,Western,322245
The Graduate,1967,106 minutes,8.0,"Comedy, Drama, Romance",268487
Capharnaüm,2018,126 minutes,8.4,Drama,83677
Män som hatar kvinnor,2009,152 minutes,7.8,"Crime, Drama, Mystery",215308
Y tu mamá también,2001,106 minutes,7.7,Drama,121398
Philadelphia,1993,125 minutes,7.7,Drama,237473
Toy Story 3,2010,103 minutes,8.3,"Animation, Adventure, Comedy",809953
The Little Mermaid,1989,83 minutes,7.6,"Animation, Adventure, Comedy",254621
Sense and Sensibility,1995,136 minutes,7.7,"Drama, Romance",113132
The Untouchables,1987,119 minutes,7.9,"Crime, Drama, Thriller",302169
Seven Pounds,2008,123 minutes,7.6,Drama,299165
Eastern Promises,2007,100 minutes,7.6,"Crime, Drama, Thriller",239247
Walk the Line,2005,136 minutes,7.8,"Biography, Drama, Music",246717
Deliverance,1972,109 minutes,7.7,"Adventure, Drama, Thriller",106379
Aladdin,1992,90 minutes,8.1,"Animation, Adventure, Comedy",399837
Serpico,1973,130 minutes,7.7,"Biography, Crime, Drama",120230
It's a Wonderful Life,1946,130 minutes,8.7,"Drama, Family, Fantasy",442987
Serenity,2005,119 minutes,7.8,"Action, Adventure, Sci-Fi",293279
Hunt for the Wilderpeople,2016,101 minutes,7.8,"Adventure, Comedy, Drama",126183
Lord of War,2005,122 minutes,7.6,"Crime, Drama",309842
Shichinin no samurai,1954,207 minutes,8.7,"Action, Drama",337725
Boyhood,2014,165 minutes,7.9,Drama,349837
The Boy in the Striped Pyjamas,2008,94 minutes,7.8,"Drama, History, War",211365
Straight Outta Compton,2015,147 minutes,7.8,"Biography, Drama, History",196361
Big Hero 6,2014,102 minutes,7.8,"Animation, Action, Adventure",445608
As Good as It Gets,1997,139 minutes,7.7,"Comedy, Drama, Romance",293787
Citizen Kane,1941,119 minutes,8.3,"Drama, Mystery",432830
The Boondock Saints,1999,108 minutes,7.7,"Action, Thriller",236755
The Fault in Our Stars,2014,126 minutes,7.7,"Drama, Romance",367553
Roma,2018,135 minutes,7.7,Drama,153988
District 9,2009,112 minutes,7.9,"Action, Sci-Fi, Thriller",668271
Wo hu cang long,2000,120 minutes,7.9,"Action, Adventure, Drama",264906
Mr. Nobody,2009,141 minutes,7.8,"Drama, Fantasy, Romance",229364
Raging Bull,1980,129 minutes,8.2,"Biography, Drama, Sport",344714
Back to the Future Part II,1989,108 minutes,7.9,"Adventure, Comedy, Sci-Fi",516023
Gran Torino,2008,116 minutes,8.1,Drama,759148
In Bruges,2008,107 minutes,7.9,"Comedy, Crime, Drama",412353
The Theory of Everything,2014,123 minutes,7.7,"Biography, Drama, Romance",438486
Edward Scissorhands,1990,105 minutes,7.9,"Drama, Fantasy, Romance",475272
Monty Python and the Holy Grail,1975,91 minutes,8.2,"Adventure, Comedy, Fantasy",529573
The Thin Red Line,1998,170 minutes,7.6,"Drama, History, War",184792
Contratiempo,2016,106 minutes,8.1,"Crime, Drama, Mystery",169378
Some Like It Hot,1959,121 minutes,8.2,"Comedy, Music, Romance",261219
Wreck-It Ralph,2012,101 minutes,7.7,"Animation, Adventure, Comedy",409741
Portrait de la jeune fille en feu,2019,122 minutes,8.1,"Drama, Romance",85004
The Wrestler,2008,109 minutes,7.9,"Drama, Sport",301648
Boyz n the Hood,1991,112 minutes,7.8,"Crime, Drama",137345
Fantastic Mr. Fox,2009,87 minutes,7.9,"Animation, Adventure, Comedy",223544
Match Point,2005,124 minutes,7.6,"Drama, Romance, Thriller",215497
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117 minutes,8.3,"Animation, Action, Adventure",51169
Zombieland,2009,88 minutes,7.6,"Action, Comedy, Horror",557896
Life of Pi,2012,127 minutes,7.9,"Adventure, Drama, Fantasy",614771
Stagecoach,1939,96 minutes,7.8,"Adventure, Drama, Western",47962
Naked,1993,131 minutes,7.8,"Comedy, Drama",38569
Rear Window,1954,112 minutes,8.5,"Mystery, Thriller",478717
Minority Report,2002,145 minutes,7.7,"Action, Crime, Mystery",538379
Scent of a Woman,1992,156 minutes,8.0,Drama,287546
Apollo 13,1995,140 minutes,7.7,"Adventure, Drama, History",288372
What's Eating Gilbert Grape,1993,118 minutes,7.8,Drama,231158
Mulan,1998,88 minutes,7.6,"Animation, Adventure, Comedy",278293
The Royal Tenenbaums,2001,110 minutes,7.6,"Comedy, Drama",286524
Lion,2016,118 minutes,8.0,"Biography, Drama",231273
Nosferatu,1922,94 minutes,7.9,"Fantasy, Horror",94944
Dawn of the Planet of the Apes,2014,130 minutes,7.6,"Action, Adventure, Drama",432319
Adaptation.,2002,115 minutes,7.7,"Comedy, Drama",189555
Dogville,2003,178 minutes,8.0,"Crime, Drama",146469
Primal Fear,1996,129 minutes,7.7,"Crime, Drama, Mystery",207409
Planet of the Apes,1968,112 minutes,8.0,"Adventure, Sci-Fi",176689
The Hustler,1961,134 minutes,8.0,"Drama, Sport",80841
Rosemary's Baby,1968,137 minutes,8.0,"Drama, Horror",209827
Toy Story 2,1999,92 minutes,7.9,"Animation, Adventure, Comedy",563727
Vertigo,1958,128 minutes,8.3,"Mystery, Romance, Thriller",392996
The Last Picture Show,1971,118 minutes,8.0,"Drama, Romance",47295
Lethal Weapon,1987,109 minutes,7.6,"Action, Crime, Thriller",253139
Network,1976,121 minutes,8.1,Drama,156391
Dog Day Afternoon,1975,125 minutes,8.0,"Biography, Crime, Drama",251532
Gone Baby Gone,2007,114 minutes,7.6,"Crime, Drama, Mystery",268348
First Blood,1982,93 minutes,7.7,"Action, Adventure, Thriller",245141
Groundhog Day,1993,101 minutes,8.1,"Comedy, Drama, Fantasy",611623
Young Frankenstein,1974,106 minutes,8.0,Comedy,155049
Creed,2015,133 minutes,7.6,"Action, Drama, Sport",266153
East of Eden,1955,118 minutes,7.8,Drama,44804
The French Connection,1971,104 minutes,7.7,"Action, Crime, Drama",120153
Fiddler on the Roof,1971,181 minutes,8.0,"Drama, Family, Musical",42925
Mad Max 2,1981,96 minutes,7.6,"Action, Adventure, Sci-Fi",176901
The Others,2001,101 minutes,7.6,"Horror, Mystery, Thriller",358049
Pâfekuto burû,1997,81 minutes,8.0,"Animation, Crime, Drama",71081
Donnie Brasco,1997,127 minutes,7.7,"Biography, Crime, Drama",298979
Who Framed Roger Rabbit,1988,104 minutes,7.7,"Animation, Adventure, Comedy",195981
Bridge of Spies,2015,142 minutes,7.6,"Drama, History, Thriller",305629
Star Trek Into Darkness,2013,132 minutes,7.7,"Action, Adventure, Sci-Fi",478391
Dark City,1998,100 minutes,7.6,"Fantasy, Mystery, Sci-Fi",197404
Traffic,2000,147 minutes,7.6,"Crime, Drama, Thriller",205174
Spartacus,1960,197 minutes,7.9,"Adventure, Biography, Drama",132760
Das Boot,1981,149 minutes,8.4,"Drama, War",246252
La piel que habito,2011,120 minutes,7.6,"Drama, Horror, Thriller",149578
The Blues Brothers,1980,133 minutes,7.9,"Action, Adventure, Comedy",194998
Nuovo Cinema Paradiso,1988,155 minutes,8.5,"Drama, Romance",253352
The Birds,1963,119 minutes,7.7,"Drama, Horror, Mystery",184551
The World's Fastest Indian,2005,127 minutes,7.8,"Biography, Drama, Sport",54323
The Elephant Man,1980,124 minutes,8.2,"Biography, Drama",236088
Doctor Zhivago,1965,197 minutes,8.0,"Drama, Romance, War",75471
Evil Dead II,1987,84 minutes,7.7,"Comedy, Horror",159430
Carlito's Way,1993,144 minutes,7.9,"Crime, Drama, Thriller",213725
Barry Lyndon,1975,185 minutes,8.1,"Adventure, Drama, History",163315
A Bronx Tale,1993,121 minutes,7.8,"Crime, Drama",137948
When Harry Met Sally...,1989,95 minutes,7.7,"Comedy, Drama, Romance",212240
October Sky,1999,108 minutes,7.8,"Biography, Drama, Family",89194
Tonari no Totoro,1988,86 minutes,8.2,"Animation, Comedy, Family",325322
North by Northwest,1959,136 minutes,8.3,"Adventure, Mystery, Thriller",320418
127 Hours,2010,94 minutes,7.6,"Biography, Drama",369885
Sunset Blvd.,1950,110 minutes,8.4,"Drama, Film-Noir",216725
El secreto de sus ojos,2009,129 minutes,8.2,"Drama, Mystery, Romance",205635
Fa Yeung Nin Wah,2000,98 minutes,8.1,"Drama, Romance",143989
Close Encounters of the Third Kind,1977,138 minutes,7.6,"Drama, Sci-Fi",197429
Hamlet,1996,242 minutes,7.8,Drama,37814
A Streetcar Named Desire,1951,122 minutes,8.0,Drama,106390
The Bourne Ultimatum,2007,115 minutes,8.0,"Action, Mystery, Thriller",626104
The Conversation,1974,113 minutes,7.8,"Drama, Mystery, Thriller",109291
Who's Afraid of Virginia Woolf?,1966,131 minutes,8.0,Drama,74167
Ordinary People,1980,124 minutes,7.8,Drama,51200
The Bourne Supremacy,2004,108 minutes,7.7,"Action, Mystery, Thriller",455903
End of Watch,2012,109 minutes,7.6,"Action, Adventure, Crime",242936
Mississippi Burning,1988,128 minutes,7.8,"Crime, Drama, History",98353
The Great Escape,1963,172 minutes,8.2,"Adventure, Drama, History",239875
Glory,1989,122 minutes,7.8,"Biography, Drama, History",132843
Captain Phillips,2013,134 minutes,7.8,"Action, Biography, Crime",449054
Hachi: A Dog's Tale,2009,93 minutes,8.1,"Biography, Drama, Family",276304
Do the Right Thing,1989,120 minutes,7.9,"Comedy, Drama",99698
M - Eine Stadt sucht einen Mörder,1931,117 minutes,8.3,"Crime, Mystery, Thriller",154661
Ang-ma-reul bo-at-da,2010,144 minutes,7.8,"Action, Crime, Drama",125329
Life of Brian,1979,94 minutes,8.1,Comedy,391193
La grande bellezza,2013,141 minutes,7.7,Drama,88841
Låt den rätte komma in,2008,114 minutes,7.9,"Drama, Fantasy, Horror",214177
Sing Street,2016,106 minutes,7.9,"Comedy, Drama, Music",91866
Isle of Dogs,2018,101 minutes,7.8,"Animation, Adventure, Comedy",162243
Breakfast at Tiffany's,1961,115 minutes,7.6,"Comedy, Drama, Romance",176700
In the Heat of the Night,1967,110 minutes,8.0,"Drama, Mystery, Thriller",74805
On the Waterfront,1954,108 minutes,8.1,"Crime, Drama, Thriller",152120
Sling Blade,1996,135 minutes,8.0,Drama,92804
In the Name of the Father,1993,133 minutes,8.1,"Biography, Crime, Drama",170744
Rise of the Planet of the Apes,2011,105 minutes,7.6,"Action, Drama, Sci-Fi",518142
Bonnie and Clyde,1967,111 minutes,7.8,"Action, Biography, Crime",110764
The Illusionist,2006,110 minutes,7.6,"Drama, Fantasy, Mystery",368061
Metropolis,1927,153 minutes,8.3,"Drama, Sci-Fi",170940
JFK,1991,189 minutes,8.0,"Drama, History, Thriller",152884
Koe no katachi,2016,130 minutes,8.1,"Animation, Drama",74009
Relatos salvajes,2014,122 minutes,8.1,"Comedy, Drama, Thriller",192765
The Man from Earth,2007,87 minutes,7.9,"Drama, Fantasy, Mystery",184421
Changeling,2008,141 minutes,7.8,"Biography, Crime, Drama",251881
The Color Purple,1985,154 minutes,7.7,Drama,85000
Gandhi,1982,191 minutes,8.1,"Biography, Drama",227144
High Noon,1952,85 minutes,8.0,"Drama, Thriller, Western",102845
Serbuan maut,2011,101 minutes,7.6,"Action, Crime, Thriller",201203
The Insider,1999,157 minutes,7.8,"Biography, Drama, Thriller",168869
Billy Elliot,2000,110 minutes,7.7,"Drama, Music",133251
Akira,1988,124 minutes,8.0,"Animation, Action, Drama",180176
This Is Spinal Tap,1984,82 minutes,7.9,"Comedy, Music",137585
Dirty Harry,1971,102 minutes,7.7,"Action, Crime, Thriller",153039
Goldfinger,1964,110 minutes,7.7,"Action, Adventure, Thriller",186204
Snow White and the Seven Dwarfs,1937,83 minutes,7.6,"Animation, Adventure, Family",194629
The Jungle Book,1967,78 minutes,7.6,"Animation, Adventure, Comedy",177907
Stalker,1979,162 minutes,8.1,"Drama, Sci-Fi",130878
The Apartment,1960,125 minutes,8.3,"Comedy, Drama, Romance",177407
Where Eagles Dare,1968,158 minutes,7.6,"Action, Adventure, War",57284
Fried Green Tomatoes,1991,130 minutes,7.7,Drama,73213
Brazil,1985,132 minutes,7.9,"Drama, Sci-Fi",198112
Flipped,2010,90 minutes,7.7,"Comedy, Drama, Romance",88594
The Magnificent Seven,1960,128 minutes,7.7,"Action, Adventure, Western",93507
Butch Cassidy and the Sundance Kid,1969,110 minutes,8.0,"Biography, Crime, Drama",212688
Before Sunset,2004,80 minutes,8.1,"Drama, Romance",255936
Papillon,1973,151 minutes,8.0,"Biography, Crime, Drama",128712
It Happened One Night,1934,105 minutes,8.1,"Comedy, Romance",101779
Ip Man,2008,106 minutes,8.0,"Action, Biography, Drama",220857
La haine,1995,98 minutes,8.1,"Crime, Drama",167148
Chung Hing sam lam,1994,102 minutes,8.0,"Comedy, Crime, Drama",76732
Before Midnight,2013,109 minutes,7.9,"Drama, Romance",153460
Jodaeiye Nader az Simin,2011,123 minutes,8.3,Drama,240381
Annie Hall,1977,93 minutes,8.0,"Comedy, Romance",262051
La montaña sagrada,1973,114 minutes,7.8,"Adventure, Drama, Fantasy",41775
Per qualche dollaro in più,1965,132 minutes,8.3,Western,250508
This Is England,2006,101 minutes,7.7,"Crime, Drama",120980
Lucky Number Slevin,2006,110 minutes,7.7,"Crime, Drama, Thriller",309896
Per un pugno di dollari,1964,99 minutes,7.9,"Action, Drama, Western",212504
My Fair Lady,1964,170 minutes,7.8,"Drama, Family, Musical",93889
Batman: Mask of the Phantasm,1993,76 minutes,7.8,"Animation, Action, Adventure",49398
Enter the Dragon,1973,102 minutes,7.6,"Action, Crime, Drama",102936
The Killing Fields,1984,141 minutes,7.8,"Biography, Drama, History",54933
Rushmore,1998,93 minutes,7.6,"Comedy, Drama, Romance",182280
Det sjunde inseglet,1957,96 minutes,8.1,"Drama, Fantasy, History",181046
Kôkaku Kidôtai,1995,83 minutes,7.9,"Animation, Action, Crime",139670
The King of Comedy,1982,109 minutes,7.8,"Comedy, Crime, Drama",100181
Stalag 17,1953,120 minutes,8.0,"Comedy, Drama, War",55191
Der Name der Rose,1986,130 minutes,7.7,"Drama, History, Mystery",107288
I Am Sam,2001,132 minutes,7.6,Drama,148864
Kung fu,2004,99 minutes,7.7,"Action, Comedy, Fantasy",136309
All the President's Men,1976,138 minutes,7.9,"Drama, History, Thriller",112845
Malcolm X,1992,202 minutes,7.7,"Biography, Drama, History",92954
The Fall,2006,117 minutes,7.8,"Adventure, Drama, Fantasy",111267
Awakenings,1990,121 minutes,7.8,"Biography, Drama",137137
Harold and Maude,1971,91 minutes,7.9,"Comedy, Drama, Romance",76368
How to Train Your Dragon 2,2014,102 minutes,7.8,"Animation, Action, Adventure",326009
Kramer vs. Kramer,1979,105 minutes,7.8,Drama,142755
Glengarry Glen Ross,1992,100 minutes,7.7,"Crime, Drama, Mystery",103336
Ray,2004,152 minutes,7.7,"Biography, Drama, Music",145745
Patton,1970,172 minutes,8.0,"Biography, Drama, War",100757
The Grapes of Wrath,1940,129 minutes,8.1,Drama,91216
Being There,1979,130 minutes,8.0,"Comedy, Drama",71440
Hotel Rwanda,2004,121 minutes,8.1,"Biography, Drama, History",350037
Paddington 2,2017,103 minutes,7.8,"Adventure, Comedy, Family",72530
Ran,1985,162 minutes,8.2,"Action, Drama, War",122796
WolfWalkers,2020,103 minutes,8.0,"Animation, Adventure, Family",29903
Gake no ue no Ponyo,2008,101 minutes,7.6,"Animation, Adventure, Comedy",138817
La migliore offerta,2013,131 minutes,7.8,"Crime, Drama, Mystery",116694
Night of the Living Dead,1968,96 minutes,7.8,"Horror, Thriller",125421
"Paris, Texas",1984,145 minutes,8.1,Drama,103208
The Nightmare Before Christmas,1993,76 minutes,8.0,"Animation, Family, Fantasy",325572
Ed Wood,1994,127 minutes,7.9,"Biography, Comedy, Drama",173639
Todo sobre mi madre,1999,101 minutes,7.8,Drama,95245
The Searchers,1956,119 minutes,7.9,"Adventure, Drama, Western",87598
Cool Hand Luke,1967,127 minutes,8.1,"Crime, Drama",173958
Rebecca,1940,130 minutes,8.1,"Drama, Film-Noir, Mystery",134557
The Iron Giant,1999,86 minutes,8.1,"Animation, Action, Adventure",186614
The Last King of Scotland,2006,123 minutes,7.7,"Biography, Drama, History",184067
Bound by Honor,1993,180 minutes,7.9,"Crime, Drama",30858
Star Trek II: The Wrath of Khan,1982,113 minutes,7.7,"Action, Adventure, Sci-Fi",119173
My Left Foot: The Story of Christy Brown,1989,103 minutes,7.9,"Biography, Drama",73092
Paper Moon,1973,102 minutes,8.1,"Comedy, Crime, Drama",46586
The Remains of the Day,1993,134 minutes,7.8,"Drama, Romance",72583
Dancer in the Dark,2000,140 minutes,8.0,"Crime, Drama, Musical",108235
The Naked Gun: From the Files of Police Squad!,1988,85 minutes,7.6,"Comedy, Crime",165095
Papurika,2006,90 minutes,7.7,"Animation, Drama, Fantasy",80188
Batoru rowaiaru,2000,114 minutes,7.6,"Action, Adventure, Drama",180114
Rebel Without a Cause,1955,111 minutes,7.7,Drama,89125
21 Grams,2003,124 minutes,7.7,"Crime, Drama, Thriller",234045
The Dirty Dozen,1967,150 minutes,7.7,"Action, Adventure, War",71721
What Ever Happened to Baby Jane?,1962,134 minutes,8.0,"Drama, Horror, Thriller",54711
The Wild Bunch,1969,145 minutes,7.9,"Action, Adventure, Western",83381
Detachment,2011,98 minutes,7.7,Drama,83494
Dawn of the Dead,1978,127 minutes,7.9,"Horror, Thriller",118448
Seppuku,1962,133 minutes,8.6,"Action, Drama, Mystery",53299
Amores perros,2000,154 minutes,8.1,"Drama, Thriller",236588
Clerks,1994,92 minutes,7.7,Comedy,219359
Searching,2018,102 minutes,7.6,"Drama, Mystery, Thriller",158424
Harvey,1950,104 minutes,7.9,"Comedy, Drama, Fantasy",55131
Double Indemnity,1944,107 minutes,8.3,"Crime, Drama, Film-Noir",153720
Out of the Past,1947,97 minutes,8.0,"Crime, Drama, Film-Noir",36380
Persona,1966,85 minutes,8.1,"Drama, Thriller",114944
Paths of Glory,1957,88 minutes,8.4,"Drama, War",192476
Madeo,2009,129 minutes,7.8,"Crime, Drama, Mystery",61652
Dangal,2016,161 minutes,8.4,"Action, Biography, Drama",181060
Solaris,1972,167 minutes,8.0,"Drama, Mystery, Sci-Fi",89329
Mysterious Skin,2004,105 minutes,7.6,Drama,68815
The Outlaw Josey Wales,1976,135 minutes,7.8,Western,72174
Miller's Crossing,1990,115 minutes,7.7,"Crime, Drama, Thriller",133558
The Killing,1956,84 minutes,8.0,"Crime, Drama, Film-Noir",88271
8½,1963,138 minutes,8.0,Drama,116124
Jungfrukällan,1960,89 minutes,8.1,Drama,28800
Z,1969,127 minutes,8.2,"Crime, Drama, History",28004
Witness for the Prosecution,1957,116 minutes,8.4,"Crime, Drama, Mystery",121410
Charade,1963,113 minutes,7.9,"Comedy, Mystery, Romance",75448
Majo no takkyûbin,1989,103 minutes,7.8,"Animation, Family, Fantasy",139169
After Hours,1985,97 minutes,7.6,"Comedy, Crime, Drama",67438
Taare Zameen Par,2007,165 minutes,8.4,"Drama, Family",187536
The Right Stuff,1983,193 minutes,7.8,"Adventure, Biography, Drama",60572
Barton Fink,1991,116 minutes,7.6,"Comedy, Drama, Thriller",119580
Dial M for Murder,1954,105 minutes,8.2,"Crime, Thriller",171699
Kaze tachinu,2013,126 minutes,7.8,"Animation, Biography, Drama",82690
Kaze no tani no Naushika,1984,117 minutes,8.0,"Animation, Adventure, Sci-Fi",165618
Cinderella Man,2005,144 minutes,8.0,"Biography, Drama, History",184808
The African Queen,1951,105 minutes,7.7,"Adventure, Drama, Romance",77615
The Bridges of Madison County,1995,135 minutes,7.6,"Drama, Romance",79653
Guess Who's Coming to Dinner,1967,108 minutes,7.8,"Comedy, Drama",44561
Amour,2012,127 minutes,7.9,Drama,98747
Klaus,2019,96 minutes,8.2,"Animation, Adventure, Comedy",140590
The Third Man,1949,104 minutes,8.1,"Film-Noir, Mystery, Thriller",168930
Breaking the Waves,1996,159 minutes,7.8,Drama,65983
The Maltese Falcon,1941,100 minutes,8.0,"Crime, Film-Noir, Mystery",156286
Serbuan maut 2: Berandal,2014,150 minutes,7.9,"Action, Crime, Thriller",121297
Happiness,1998,134 minutes,7.7,"Comedy, Drama",69559
Togo,2019,113 minutes,8.0,"Adventure, Biography, Drama",46508
Pink Floyd: The Wall,1982,95 minutes,8.0,"Drama, Fantasy, Music",79954
Ying xiong,2002,120 minutes,7.9,"Action, Adventure, Drama",179752
Tumbbad,2018,104 minutes,8.3,"Drama, Fantasy, Horror",41081
Hable con ella,2002,112 minutes,7.9,"Drama, Mystery, Romance",111097
Me and Earl and the Dying Girl,2015,105 minutes,7.7,"Comedy, Drama",129730
Rashômon,1950,88 minutes,8.2,"Crime, Drama, Mystery",164809
The Straight Story,1999,112 minutes,8.0,"Biography, Drama",89008
