Movie,Year,RunTime,imdb,Genre,votes
Mommy,2014,139 minutes,8.0,Drama,55712
Belle de jour,1967,100 minutes,7.7,"Drama, Romance",43651
Tenkû no shiro Rapyuta,1986,125 minutes,8.0,"Animation, Adventure, Family",162332
Zwartboek,2006,145 minutes,7.7,"Drama, Thriller, War",76180
Manbiki kazoku,2018,121 minutes,7.9,"Crime, Drama",73279
The Quiet Man,1952,129 minutes,7.7,"Comedy, Drama, Romance",38118
The Night of the Hunter,1955,92 minutes,8.0,"Crime, Drama, Film-Noir",87836
Days of Heaven,1978,94 minutes,7.8,"Drama, Romance",57181
Finding Neverland,2004,106 minutes,7.7,"Biography, Drama, Family",204374
Gaslight,1944,114 minutes,7.8,"Crime, Drama, Mystery",28070
The Great Dictator,1940,125 minutes,8.4,"Comedy, Drama, War",219288
50/50,2011,100 minutes,7.6,"Comedy, Drama, Romance",326671
The Longest Day,1962,178 minutes,7.7,"Action, Drama, History",55054
Rio Bravo,1959,141 minutes,8.0,Western,61225
The Man Who Shot Liberty Valance,1962,123 minutes,8.1,"Drama, Western",74621
Letters from Iwo Jima,2006,141 minutes,7.9,"Action, Adventure, Drama",160868
Abre los ojos,1997,119 minutes,7.7,"Drama, Mystery, Sci-Fi",68561
Freaks,1932,64 minutes,7.9,"Drama, Horror",45575
The Verdict,1982,129 minutes,7.7,Drama,39580
The Day of the Jackal,1973,143 minutes,7.8,"Crime, Drama, Thriller",40313
Short Term 12,2013,96 minutes,7.9,Drama,86767
King Kong,1933,100 minutes,7.9,"Adventure, Horror, Sci-Fi",84194
Sardar Udham,2021,164 minutes,8.8,"Biography, Crime, Drama",38628
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 minutes,8.1,"Animation, Action, Drama",51569
The Day the Earth Stood Still,1951,92 minutes,7.8,"Drama, Sci-Fi",80911
Lola rennt,1998,81 minutes,7.7,"Crime, Drama, Thriller",196553
Judgment at Nuremberg,1961,179 minutes,8.3,"Drama, War",75925
Rope,1948,80 minutes,8.0,"Crime, Drama, Mystery",140334
En man som heter Ove,2015,116 minutes,7.7,"Comedy, Drama, Romance",53242
Roman Holiday,1953,118 minutes,8.0,"Comedy, Romance",136171
Badlands,1973,94 minutes,7.8,"Action, Crime, Drama",71709
The Lion in Winter,1968,134 minutes,7.9,"Biography, Drama, History",31154
All Quiet on the Western Front,1930,152 minutes,8.1,"Drama, War",60663
La dolce vita,1960,174 minutes,8.0,"Comedy, Drama",71751
From Here to Eternity,1953,118 minutes,7.6,"Drama, Romance, War",46352
Festen,1998,105 minutes,8.1,Drama,85626
25th Hour,2002,135 minutes,7.6,Drama,177008
Yôjinbô,1961,110 minutes,8.2,"Action, Drama, Thriller",120372
The Station Agent,2003,89 minutes,7.6,"Comedy, Drama",70001
Loving Vincent,2017,94 minutes,7.8,"Animation, Biography, Crime",56557
Modern Times,1936,87 minutes,8.5,"Comedy, Drama, Romance",236205
Der Himmel über Berlin,1987,128 minutes,8.0,"Drama, Fantasy, Romance",69758
Mary and Max.,2009,92 minutes,8.1,"Animation, Comedy, Drama",174397
Once,2007,86 minutes,7.8,"Drama, Music, Romance",115462
"South Park: Bigger, Longer & Uncut",1999,81 minutes,7.7,"Animation, Comedy, Fantasy",201829
Andrei Rublev,1966,205 minutes,8.1,"Biography, Drama, History",52716
Philomena,2013,98 minutes,7.6,"Biography, Comedy, Drama",99062
Fanny och Alexander,1982,188 minutes,8.1,Drama,62995
Touch of Evil,1958,95 minutes,8.0,"Crime, Drama, Film-Noir",103241
Beasts of No Nation,2015,137 minutes,7.7,"Drama, War",79916
Shershaah,2021,135 minutes,8.9,"Action, Biography, Drama",116025
Kubo and the Two Strings,2016,101 minutes,7.8,"Animation, Action, Adventure",126605
Notorious,1946,102 minutes,7.9,"Drama, Film-Noir, Romance",99580
Perfetti sconosciuti,2016,96 minutes,7.7,"Comedy, Drama",63678
Nebraska,2013,115 minutes,7.7,"Adventure, Comedy, Drama",116985
Waking Life,2001,99 minutes,7.7,"Animation, Drama, Fantasy",63495
A Man for All Seasons,1966,120 minutes,7.7,"Biography, Drama, History",34134
A Christmas Story,1983,93 minutes,8.0,"Comedy, Family",146017
À bout de souffle,1960,90 minutes,7.7,"Crime, Drama",79489
Trois couleurs: Bleu,1993,94 minutes,7.9,"Drama, Music, Mystery",99579
United 93,2006,111 minutes,7.6,"Action, Drama, History",105349
Ladri di biciclette,1948,89 minutes,8.3,Drama,160125
Good Bye Lenin!,2003,121 minutes,7.7,"Comedy, Drama, Romance",144485
Chun gwong cha sit,1997,96 minutes,7.7,"Drama, Romance",27877
Cat on a Hot Tin Roof,1958,108 minutes,8.0,Drama,48705
Le charme discret de la bourgeoisie,1972,102 minutes,7.8,Comedy,42247
Mar adentro,2004,126 minutes,8.0,"Biography, Drama",81039
Les quatre cents coups,1959,99 minutes,8.1,"Crime, Drama",115014
Zerkalo,1975,107 minutes,8.0,"Biography, Drama",45306
The Treasure of the Sierra Madre,1948,126 minutes,8.2,"Adventure, Drama, Western",122620
Pride,2014,119 minutes,7.8,"Biography, Comedy, Drama",55530
Sabrina,1954,113 minutes,7.6,"Comedy, Drama, Romance",63828
Hedwig and the Angry Inch,2001,95 minutes,7.7,"Comedy, Drama, Music",35225
Viskningar och rop,1972,91 minutes,8.0,Drama,33514
The Big Sleep,1946,114 minutes,7.9,"Crime, Film-Noir, Mystery",84305
Miracle in Cell No. 7,2019,132 minutes,8.2,Drama,46611
Mimi wo sumaseba,1995,111 minutes,7.9,"Animation, Drama, Family",60100
La planète sauvage,1973,72 minutes,7.7,"Animation, Sci-Fi",30015
The Man Who Would Be King,1975,129 minutes,7.8,"Adventure, History, War",48275
Gangs of Wasseypur,2012,321 minutes,8.2,"Action, Comedy, Crime",93377
Mou gaan dou,2002,101 minutes,8.0,"Action, Crime, Drama",123217
Kurenai no buta,1992,94 minutes,7.7,"Animation, Adventure, Comedy",86702
Manhattan,1979,96 minutes,7.9,"Comedy, Drama, Romance",138564
Fantasia,1940,125 minutes,7.7,"Animation, Family, Fantasy",94317
Un long dimanche de fiançailles,2004,133 minutes,7.6,"Drama, Mystery, Romance",73390
Chugyeokja,2008,125 minutes,7.8,"Action, Crime, Drama",64588
Ajeossi,2010,119 minutes,7.7,"Action, Crime, Drama",68273
Dersu Uzala,1975,142 minutes,8.2,"Adventure, Biography, Drama",27912
The Manchurian Candidate,1962,126 minutes,7.9,"Drama, Thriller",74757
Once Were Warriors,1994,102 minutes,7.9,"Crime, Drama",33803
Frankenstein,1931,70 minutes,7.8,"Drama, Horror, Sci-Fi",70835
Zulu,1964,138 minutes,7.7,"Drama, History, War",38662
The Philadelphia Story,1940,112 minutes,7.9,"Comedy, Romance",68144
Lilja 4-ever,2002,109 minutes,7.8,"Crime, Drama",45140
La leggenda del pianista sull'oceano,1998,169 minutes,8.0,"Drama, Music, Romance",63141
Short Cuts,1993,188 minutes,7.7,"Comedy, Drama",44447
Le samouraï,1967,105 minutes,8.0,"Crime, Drama",50260
Das weiße Band - Eine deutsche Kindergeschichte,2009,144 minutes,7.8,"Drama, History, Mystery",72678
Strangers on a Train,1951,101 minutes,7.9,"Crime, Drama, Film-Noir",131882
Anatomy of a Murder,1959,161 minutes,8.0,"Drama, Mystery",65210
Tengoku to jigoku,1963,143 minutes,8.4,"Crime, Drama, Mystery",42358
Nashville,1975,160 minutes,7.7,"Comedy, Drama, Music",25925
Bacheha-Ye aseman,1997,89 minutes,8.2,"Drama, Family, Sport",73169
Mr. Smith Goes to Washington,1939,129 minutes,8.1,"Comedy, Drama",113967
Forushande,2016,124 minutes,7.7,Drama,59410
Leviafan,2014,140 minutes,7.6,"Crime, Drama",52806
You Can't Take It with You,1938,126 minutes,7.8,"Comedy, Drama, Romance",25417
Secrets & Lies,1996,136 minutes,8.0,"Comedy, Drama",42477
City Lights,1931,87 minutes,8.5,"Comedy, Drama, Romance",180896
Ikiru,1952,143 minutes,8.3,Drama,76336
Amarcord,1973,123 minutes,7.9,"Comedy, Drama",42973
Smultronstället,1957,91 minutes,8.2,"Drama, Romance",105205
Doragon bôru chô: Burorî,2018,100 minutes,7.8,"Animation, Action, Adventure",26019
Das Cabinet des Dr. Caligari,1920,76 minutes,8.0,"Horror, Mystery, Thriller",62294
The Adventures of Robin Hood,1938,102 minutes,7.9,"Action, Adventure, Romance",50455
Andhadhun,2018,139 minutes,8.2,"Comedy, Crime, Music",88642
Song of the Sea,2014,93 minutes,8.1,"Animation, Adventure, Drama",57120
Invasion of the Body Snatchers,1956,80 minutes,7.7,"Drama, Horror, Sci-Fi",48746
Night on Earth,1991,129 minutes,7.7,"Comedy, Drama",59567
Kind Hearts and Coronets,1949,106 minutes,8.0,"Comedy, Crime",36890
Omoide no Mânî,2014,103 minutes,7.7,"Animation, Drama, Family",38833
Control,2007,122 minutes,7.7,"Biography, Drama, Music",64585
Trois couleurs: Rouge,1994,99 minutes,8.1,"Drama, Mystery, Romance",101153
Bride of Frankenstein,1935,75 minutes,7.8,"Drama, Horror, Sci-Fi",47329
Laura,1944,88 minutes,7.9,"Drama, Film-Noir, Mystery",46609
The Message,1976,177 minutes,8.1,"Biography, Drama, History",46771
Tropa de Elite,2007,115 minutes,8.0,"Action, Crime, Drama",102610
M.S. Dhoni: The Untold Story,2016,184 minutes,8.1,"Biography, Drama, Sport",52857
The Thin Man,1934,91 minutes,7.9,"Comedy, Mystery",29125
Hannah and Her Sisters,1986,107 minutes,7.9,"Comedy, Drama",70711
La double vie de Véronique,1991,98 minutes,7.7,"Drama, Fantasy, Music",47503
The 39 Steps,1935,86 minutes,7.6,"Crime, Mystery, Thriller",56128
Spoorloos,1988,107 minutes,7.7,"Mystery, Thriller",38048
The Asphalt Jungle,1950,112 minutes,7.8,"Crime, Drama, Film-Noir",26399
Il conformista,1970,113 minutes,7.9,Drama,29791
Ba wang bie ji,1993,171 minutes,8.1,"Drama, History, Music",27985
Le Petit Prince,2015,108 minutes,7.7,"Animation, Adventure, Drama",61034
Le scaphandre et le papillon,2007,112 minutes,8.0,"Biography, Drama",106959
Shadow of a Doubt,1943,108 minutes,7.8,"Film-Noir, Thriller",64363
Frost/Nixon,2008,122 minutes,7.7,"Biography, Drama, History",107205
Kaguya-hime no monogatari,2013,137 minutes,8.0,"Animation, Drama, Family",44821
Cape Fear,1962,106 minutes,7.7,"Drama, Thriller",28719
Peeping Tom,1960,101 minutes,7.6,"Drama, Horror, Thriller",34648
Shine,1996,105 minutes,7.7,"Biography, Drama, Music",53822
Sacrifice,1986,149 minutes,7.9,Drama,27653
Under sandet,2015,100 minutes,7.8,"Drama, History, War",40171
Super 30,2019,154 minutes,8.1,"Biography, Drama",29619
Persepolis,2007,96 minutes,8.0,"Animation, Biography, Drama",93489
PK,2014,153 minutes,8.1,"Comedy, Drama, Sci-Fi",178655
The Lady Vanishes,1938,96 minutes,7.8,"Mystery, Thriller",51657
Repulsion,1965,105 minutes,7.6,"Drama, Horror, Thriller",52446
Il gattopardo,1963,186 minutes,8.0,"Drama, History",25433
To Be or Not to Be,1942,99 minutes,8.2,"Comedy, Romance, War",35725
Inherit the Wind,1960,128 minutes,8.1,"Biography, Drama, History",29767
Drishyam,2015,163 minutes,8.2,"Crime, Drama, Mystery",79237
Les parapluies de Cherbourg,1964,91 minutes,7.8,"Drama, Musical, Romance",26959
La battaglia di Algeri,1966,121 minutes,8.1,"Drama, War",58782
Tôkyô monogatari,1953,136 minutes,8.2,Drama,59999
The General,1926,67 minutes,8.2,"Action, Adventure, Comedy",89483
Lat sau san taam,1992,128 minutes,7.8,"Action, Crime, Thriller",49767
Gully Boy,2019,154 minutes,7.9,"Drama, Music, Romance",37933
"I, Daniel Blake",2016,100 minutes,7.9,Drama,58881
Bringing Up Baby,1938,102 minutes,7.8,Comedy,60599
Ondskan,2003,113 minutes,7.8,Drama,37975
The Taking of Pelham One Two Three,1974,104 minutes,7.7,"Action, Crime, Thriller",30064
Scarface,1932,93 minutes,7.7,"Action, Crime, Drama",27533
Arsenic and Old Lace,1943,118 minutes,7.9,"Comedy, Crime, Thriller",69910
Diarios de motocicleta,2004,126 minutes,7.8,"Adventure, Biography, Drama",100418
In Cold Blood,1967,134 minutes,7.9,"Biography, Crime, Drama",26277
Lagaan: Once Upon a Time in India,2001,224 minutes,8.1,"Drama, Musical, Sport",111731
Ta'm e guilass,1997,95 minutes,7.7,Drama,29688
Ratsasan,2018,170 minutes,8.4,"Crime, Drama, Mystery",38746
Underground,1995,170 minutes,8.1,"Comedy, Drama, Fantasy",57883
Kagemusha,1980,180 minutes,7.9,"Drama, History, War",35165
"Aguirre, der Zorn Gottes",1972,95 minutes,7.9,"Action, Adventure, Biography",56210
Sweet Smell of Success,1957,96 minutes,8.0,"Drama, Film-Noir",31248
The Red Shoes,1948,135 minutes,8.1,"Drama, Music, Romance",34252
Brief Encounter,1945,86 minutes,8.0,"Drama, Romance",39462
Ôkami kodomo no Ame to Yuki,2012,117 minutes,8.1,"Animation, Drama, Family",43616
Okuribito,2008,130 minutes,8.0,"Drama, Music",51494
Sleuth,1972,138 minutes,8.0,"Mystery, Thriller",47227
The Caine Mutiny,1954,124 minutes,7.7,"Drama, War",27288
Wait Until Dark,1967,108 minutes,7.7,Thriller,30125
La Strada,1954,108 minutes,8.0,Drama,62323
Ayla: The Daughter of War,2017,125 minutes,8.5,"Biography, Drama, History",38709
Zindagi Na Milegi Dobara,2011,155 minutes,8.2,"Comedy, Drama, Musical",75528
Tôkyô goddofâzâzu,2003,90 minutes,7.8,"Animation, Adventure, Comedy",38513
Le salaire de la peur,1953,131 minutes,8.2,"Adventure, Drama, Thriller",59808
Das Experiment,2001,120 minutes,7.7,"Drama, Thriller",93322
His Girl Friday,1940,92 minutes,7.9,"Comedy, Drama, Romance",57697
The Kid,1921,68 minutes,8.3,"Comedy, Drama, Family",124009
Sullivan's Travels,1941,90 minutes,7.9,"Adventure, Comedy, Drama",25990
Uri: The Surgical Strike,2019,138 minutes,8.4,"Action, Drama, History",58031
Kal Ho Naa Ho,2003,186 minutes,8.0,"Comedy, Drama, Musical",67882
The Innocents,1961,100 minutes,7.8,Horror,29816
Cowboy Bebop: Tengoku no tobira,2001,115 minutes,7.8,"Animation, Action, Crime",47631
My Name Is Khan,2010,165 minutes,8.0,"Drama, Romance",105027
Jûbê ninpûchô,1993,94 minutes,7.8,"Animation, Action, Adventure",36874
Un prophète,2009,155 minutes,7.8,"Crime, Drama",97723
Les choristes,2004,97 minutes,7.9,"Comedy, Drama, Music",61149
To Have and Have Not,1944,100 minutes,7.8,"Adventure, Comedy, Film-Noir",34078
Soorarai Pottru,2020,153 minutes,9.3,Drama,109254
Ace in the Hole,1951,111 minutes,8.1,"Drama, Film-Noir",35213
No Man's Land,2001,98 minutes,7.9,"Comedy, Drama, War",46729
"4 luni, 3 saptamâni si 2 zile",2007,113 minutes,7.9,Drama,59484
Sunrise: A Song of Two Humans,1927,94 minutes,8.1,"Drama, Romance",50496
Gegen die Wand,2004,121 minutes,7.9,"Drama, Romance",53767
In a Lonely Place,1950,94 minutes,7.9,"Drama, Film-Noir, Mystery",30790
Red River,1948,133 minutes,7.8,"Drama, Western",30751
Badhaai ho,2018,124 minutes,8.0,"Comedy, Drama",33313
Adams æbler,2005,94 minutes,7.7,"Comedy, Crime, Drama",49982
Le notti di Cabiria,1957,110 minutes,8.1,Drama,48110
Kumonosu-jô,1957,110 minutes,8.1,"Drama, History",51209
Bronenosets Potemkin,1925,75 minutes,8.0,"Drama, History, Thriller",56871
Bin-jip,2004,88 minutes,7.9,"Crime, Drama, Romance",54392
Les yeux sans visage,1960,90 minutes,7.6,"Drama, Horror",30878
Höstsonaten,1978,99 minutes,8.1,"Drama, Music",33492
The Invisible Man,1933,71 minutes,7.7,"Horror, Sci-Fi",34194
Fitzcarraldo,1982,158 minutes,8.0,"Adventure, Drama",34330
Key Largo,1948,100 minutes,7.8,"Action, Crime, Drama",40186
The Odd Couple,1968,105 minutes,7.7,Comedy,34434
Pather Panchali,1955,125 minutes,8.3,Drama,31100
Les diaboliques,1955,117 minutes,8.1,"Crime, Drama, Horror",65074
Il postino,1994,108 minutes,7.8,"Biography, Comedy, Drama",36012
Down by Law,1986,107 minutes,7.7,"Comedy, Crime, Drama",50981
The Lunchbox,2013,104 minutes,7.8,"Drama, Romance",55045
Article 15,2019,130 minutes,8.2,"Crime, Drama, Mystery",32172
Trois couleurs: Blanc,1994,92 minutes,7.6,"Comedy, Drama, Romance",71873
Haider,2014,160 minutes,8.1,"Action, Crime, Drama",54269
Au revoir les enfants,1987,104 minutes,8.0,"Drama, War",33385
Bom yeoreum gaeul gyeoul geurigo bom,2003,103 minutes,8.0,"Drama, Romance",81947
Vikram Vedha,2017,147 minutes,8.4,"Action, Crime, Drama",36559
Kakushi-toride no san-akunin,1958,139 minutes,8.1,"Action, Adventure, Drama",38311
Toki o kakeru shôjo,2006,98 minutes,7.7,"Animation, Adventure, Comedy",64941
In America,2002,105 minutes,7.7,Drama,42877
La passion de Jeanne d'Arc,1928,110 minutes,8.2,"Biography, Drama, History",53255
El ángel exterminador,1962,95 minutes,8.0,"Drama, Fantasy",32661
Ivanovo detstvo,1962,95 minutes,8.0,"Drama, War",35699
Les triplettes de Belleville,2003,80 minutes,7.8,"Animation, Comedy, Drama",54012
"Crna macka, beli macor",1998,127 minutes,8.0,"Comedy, Crime, Romance",53228
The Broken Circle Breakdown,2012,111 minutes,7.7,"Drama, Music, Romance",40909
Dare mo shiranai,2004,141 minutes,8.0,Drama,27350
L'avventura,1960,144 minutes,7.8,"Drama, Mystery, Romance",29225
Dom za vesanje,1988,142 minutes,8.1,"Comedy, Crime, Drama",30291
The Lost Weekend,1945,101 minutes,7.9,"Drama, Film-Noir",36412
Efter brylluppet,2006,120 minutes,7.7,Drama,34316
Miracle on 34th Street,1947,96 minutes,7.9,"Comedy, Drama, Family",47272
Sennen joyû,2001,87 minutes,7.8,"Animation, Drama, Fantasy",27050
Hiroshima mon amour,1959,90 minutes,7.9,"Drama, Romance",31314
The Magdalene Sisters,2002,114 minutes,7.7,Drama,27056
Kis Uykusu,2014,196 minutes,8.1,Drama,50922
The Purple Rose of Cairo,1985,82 minutes,7.7,"Comedy, Fantasy, Romance",51008
Nostalgia,1983,125 minutes,8.0,Drama,26419
"Swades: We, the People",2004,210 minutes,8.2,"Drama, Musical",88936
Kokuhaku,2010,106 minutes,7.7,"Drama, Thriller",38455
Darbareye Elly,2009,119 minutes,8.0,"Drama, Mystery",52628
Yume,1990,119 minutes,7.7,"Drama, Fantasy",26023
Vozvrashchenie,2003,110 minutes,7.9,Drama,45106
The Big Heat,1953,89 minutes,7.9,"Crime, Film-Noir, Thriller",26333
Crimes and Misdemeanors,1989,104 minutes,7.8,"Comedy, Drama",57472
The Gold Rush,1925,95 minutes,8.2,"Adventure, Comedy, Drama",109307
Jules et Jim,1962,105 minutes,7.7,"Drama, Romance",40785
White Heat,1949,114 minutes,8.1,"Action, Crime, Drama",32312
Sherlock Jr.,1924,45 minutes,8.2,"Action, Comedy, Romance",48197
Vivre sa vie: Film en douze tableaux,1962,80 minutes,7.9,Drama,31035
Babam ve Oglum,2005,112 minutes,8.3,"Drama, Family",85304
Celda 211,2009,113 minutes,7.6,"Action, Crime, Drama",66967
Yeopgijeogin geunyeo,2001,137 minutes,8.0,"Comedy, Drama, Romance",47649
Dip huet seung hung,1989,111 minutes,7.8,"Action, Crime, Drama",47873
C.R.A.Z.Y.,2005,129 minutes,7.9,"Comedy, Drama",32678
Mandariinid,2013,87 minutes,8.1,"Drama, War",45584
G.O.R.A.,2003,127 minutes,8.1,"Adventure, Comedy, Sci-Fi",61646
Gongdong gyeongbi guyeok JSA,2000,110 minutes,7.8,"Action, Drama, Thriller",29410
Talvar,2015,132 minutes,8.1,"Crime, Drama, Mystery",34552
Duck Soup,1933,69 minutes,7.8,"Comedy, Musical",59576
Le passé,2013,130 minutes,7.7,"Drama, Mystery",48385
Da hong deng long gao gao gua,1991,125 minutes,8.1,"Drama, History, Romance",32078
Masaan,2015,109 minutes,8.1,Drama,27325
Nueve reinas,2000,114 minutes,7.9,"Crime, Drama, Thriller",52328
Dil Chahta Hai,2001,183 minutes,8.1,"Comedy, Drama, Romance",71034
La belle et la bête,1946,96 minutes,7.9,"Drama, Fantasy, Romance",26161
Bajrangi Bhaijaan,2015,163 minutes,8.1,"Action, Adventure, Comedy",84532
Du rififi chez les hommes,1955,118 minutes,8.2,"Crime, Drama, Thriller",33546
La Grande Illusion,1937,113 minutes,8.1,"Drama, War",36133
Barfi!,2012,151 minutes,8.2,"Comedy, Drama, Romance",80496
Vera Drake,2004,125 minutes,7.7,"Crime, Drama",25293
The Circus,1928,72 minutes,8.1,"Comedy, Family, Romance",33200
Chhichhore,2019,143 minutes,8.5,"Comedy, Drama, Romance",49323
Bir Zamanlar Anadolu'da,2011,157 minutes,7.9,"Crime, Drama",45725
A Wednesday,2008,104 minutes,8.1,"Action, Crime, Drama",77809
Le dîner de cons,1998,80 minutes,7.6,Comedy,41007
The Shop Around the Corner,1940,99 minutes,8.1,"Comedy, Drama, Romance",32314
Hana-bi,1997,103 minutes,7.7,"Crime, Drama, Romance",30174
Jean de Florette,1986,120 minutes,8.1,"Comedy, Drama",25528
Dilwale Dulhania Le Jayenge,1995,189 minutes,8.1,"Drama, Romance",68050
Pink,2016,136 minutes,8.1,"Crime, Drama, Thriller",44037
Rang De Basanti,2006,167 minutes,8.1,"Comedy, Crime, Drama",117969
Sanjuro,1962,96 minutes,8.0,"Action, Drama, Thriller",37590
Love and Death,1975,85 minutes,7.7,"Comedy, War",38142
Central do Brasil,1998,110 minutes,8.0,Drama,39097
Baby,2015,159 minutes,8.1,"Action, Crime, Thriller",56834
Joyeux Noël,2005,116 minutes,7.7,"Drama, History, Music",29593
Udta Punjab,2016,148 minutes,7.8,"Action, Crime, Drama",29894
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 minutes,8.0,"Action, Crime, Drama",82280
Roma città aperta,1945,103 minutes,8.0,"Drama, Thriller, War",26033
Dil Bechara,2020,101 minutes,8.1,"Comedy, Drama, Romance",128153
The Muppet Christmas Carol,1992,85 minutes,7.7,"Comedy, Drama, Family",57392
La règle du jeu,1939,110 minutes,7.9,"Comedy, Drama",28622
Udaan,2010,134 minutes,8.1,Drama,44613
Knockin' on Heaven's Door,1997,87 minutes,7.9,"Action, Crime, Comedy",29874
Eskiya,1996,128 minutes,8.2,"Crime, Drama, Thriller",69443
Andaz Apna Apna,1994,160 minutes,8.1,"Action, Comedy, Romance",52725
Taegukgi hwinalrimyeo,2004,140 minutes,8.0,"Action, Drama, War",39427
96,2018,158 minutes,8.6,"Drama, Romance",28284
Drishyam,2013,160 minutes,8.3,"Crime, Drama, Thriller",40181
Zelig,1983,79 minutes,7.7,Comedy,41758
Auf der anderen Seite,2007,122 minutes,7.8,Drama,31921
A Night at the Opera,1935,96 minutes,7.8,"Comedy, Music, Musical",32555
Vicky Donor,2012,126 minutes,7.8,"Comedy, Romance",42676
Paan Singh Tomar,2012,135 minutes,8.2,"Action, Biography, Crime",35828
Airlift,2016,130 minutes,8.1,"Drama, History",56296
Dev.D,2009,144 minutes,8.0,"Comedy, Drama, Romance",30362
Sholay,1975,204 minutes,8.1,"Action, Adventure, Comedy",54876
Drishyam 2,2021,152 minutes,8.6,"Crime, Drama, Thriller",34439
Asuran,2019,141 minutes,8.6,"Action, Drama",25919
Munna Bhai M.B.B.S.,2003,156 minutes,8.1,"Comedy, Drama",79995
Veer-Zaara,2004,192 minutes,7.9,"Drama, Family, Musical",52148
Chak De! India,2007,153 minutes,8.2,"Drama, Family, Sport",78941
OMG: Oh My God!,2012,125 minutes,8.2,"Comedy, Drama, Fantasy",57236
Hindi Medium,2017,132 minutes,7.9,"Comedy, Drama",27796
Hera Pheri,2000,156 minutes,8.1,"Action, Comedy, Crime",64810
Jab We Met,2007,138 minutes,7.9,"Comedy, Drama, Romance",51770
Bhaag Milkha Bhaag,2013,186 minutes,8.3,"Biography, Drama, Sport",66595
Queen,2013,146 minutes,8.2,"Adventure, Comedy, Drama",64893
Special Chabbis,2013,144 minutes,8.1,"Crime, Drama, Thriller",55347
Vizontele,2001,110 minutes,8.0,"Comedy, Drama",36214
Kahaani,2012,122 minutes,8.1,"Mystery, Thriller",62107
English Vinglish,2012,134 minutes,7.9,"Comedy, Drama, Family",35818
Nefes: Vatan Sagolsun,2009,128 minutes,8.1,"Action, Drama, Thriller",33414
Black,2005,122 minutes,8.2,Drama,34688
Lage Raho Munna Bhai,2006,144 minutes,8.1,"Comedy, Drama, Romance",46310
Sarfarosh,1999,174 minutes,8.1,"Action, Drama, Thriller",25414
Anand,1971,122 minutes,8.1,"Drama, Musical",33418
